"q_index10","question","gold_answer","predicted_answer","language","llm","embedding","top_k","latency_total_ms","latency_retrieval_ms","latency_generation_ms","prompt_tokens","completion_tokens","total_tokens","tokens_per_sec","gold_score_0_10","gold_feedback","factual_consistency_0_10","hallucination_rate_0_1","groundedness_pred_0_1","retrieval_support_gold_0_1","groundedness_mode_pred","retrieval_support_mode_gold","groundedness_requested","source_file"
"10","¿Quién realmente comete el robo en “Krusty Gets Busted”?","Sideshow Bob","Su ayudante Bob","es","deepseek-r1","mxbai-embed-large","3","27867.75","2105.33","25762.4","372","150","522","10.04018779274343","2.0","La respuesta menciona al ayudante Bob, pero en la realidad es Sideshow Bob quien comete el robo en 'Krusty Gets Busted'","7.99","0.201","0.799","0.801","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_es_k3.csv"
"1","Qui és l’ídol de la Lisa?","Bleeding Gums Murphy","Bleeding Gums Murphy és el seu idol i saxofonista favorit","ca","deepseek-r1","nomic-embed-text","3","37732.53","36.28","37696.23","367","266","633","9.884708329458727","9.5","While the system's response is close to the correct answer, it includes extraneous information that is not present in the original question.","8.89","0.111","0.889","0.813","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_ca_k3.csv"
"2","Quin instrument toca la Lisa?","Saxòfon","Saxofon","ca","deepseek-r1","nomic-embed-text","3","48985.21","2104.24","46880.96","351","351","702","9.729394790425774","9.5","La resposta és correcta però hi ha un petit error en la ortografia (Saxofon en lloc de Saxòfon).","7.26","0.274","0.726","0.726","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_ca_k3.csv"
"3","Com es diu el gos del Bart?","Santa’s Little Helper","El seu gos es diu Homer (Fido)","ca","deepseek-r1","nomic-embed-text","3","51834.05","2074.25","49759.79","377","358","735","9.185931345863004","2.5","The system's response is close to the correct answer, but it still has a significant error. The correct name of Bart's dog is Santa's Little Helper, not Homer (Fido).","8.23","0.177","0.823","0.746","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_ca_k3.csv"
"4","En què treballa el Homer Simpson?","Inspector de seguretat a la central nuclear","Al final, Homer treballa d'inspector de seguretat nuclear a The Simpsons.","ca","deepseek-r1","nomic-embed-text","3","57210.37","2073.74","55136.62","353","435","788","9.809497528446359","8.5","Although the system is close to the correct answer, it doesn't exactly match. The correct phrase is 'Inspector of Safety at the Nuclear Power Plant', but the system's response is a bit more detailed and includes 'The Simpsons' which is not part of the correct answer.","8.98","0.102","0.898","0.783","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_ca_k3.csv"
"5","En quin episodi confonen el Homer amb el Bigfoot?","The Call of the Simpsons (S01E07)","A l'episodi 7, titulat ""The Call of the Simpsons"".","ca","deepseek-r1","nomic-embed-text","3","35488.44","2069.29","33419.14","351","215","566","9.491593143645714","9.5","La resposta és correcta però no indica específicament l'episodi número, només es refereix a la temporada i episodi (S01E07)","9.15","0.085","0.915","0.86","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_ca_k3.csv"
"6","Què fa el Bart per impressionar els nois populars a “The Telltale Head”?","Tallar el cap de l’estàtua de Jebediah Springfield","Bart talla el cap de l’estàtua de Jebediah Springfield per impressionar els nens del poble a ""The Telltale Head"".","ca","deepseek-r1","nomic-embed-text","3","45270.31","2080.83","43189.46","384","302","686","9.31805542908215","8.5","La resposta és correcta però falta l'informació sobre què vol impressionar els nois populars (els 'cool kids' en anglès)","9.47","0.053","0.947","0.88","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_ca_k3.csv"
"7","Qui ajuda el Bart a enfrontar-se amb el Nelson a “Bart the General”?","L’avi Abe i en Herman","El Bart es veu ajudat per l'avi (Abe Simpson) i pel seu germà gran, Herman.","ca","deepseek-r1","nomic-embed-text","3","31283.24","2075.26","29207.96","377","184","561","9.997546308729587","9.5","La resposta està correcta però falta la part del plural ('els') abans de 'Abe Simpson' i 'en Herman'","9.06","0.094","0.906","0.838","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_ca_k3.csv"
"8","Quin treball extra fa el Homer per Nadal a l’episodi pilot?","Pare Noel en un centre comercial","Al llarg del Nadal, Homer accepta el treball extra de Pare Noel al centre comercial.","ca","deepseek-r1","nomic-embed-text","3","32801.2","2104.29","30696.91","375","196","571","9.865740956810162","8.5","La resposta és correcta però no es detalla que Pare Noel en un centre comercial és Homer mateix","8.59","0.141","0.859","0.777","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_ca_k3.csv"
"9","Quina foto comprometedora fa el Bart a “Homer’s Night Out”?","Una foto del Homer ballant amb una ballarina","En Homer acompanyat de moltes dones en un club nocturn.","ca","deepseek-r1","nomic-embed-text","3","41347.11","2105.73","39241.37","381","279","660","9.820907480011462","2.5","La resposta no és exacta. El sistema ha identificat Homer en una situació que pot ser comprometedora, però no s'ha especificat la foto específica del Bart. La resposta correcta és una foto del Homer ballant amb una ballarina.","8.53","0.147","0.853","0.862","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_ca_k3.csv"
"10","Qui comet realment el robatori a “Krusty Gets Busted”?","En Sideshow Bob","En Bob, l'ajudant de Krusty, va cometre el robatori.","ca","deepseek-r1","nomic-embed-text","3","33898.16","2074.54","31823.61","394","201","595","9.62865556878684","2.5","The correct answer is Sideshow Bob, not Bob the helper. The episode 'Krusty Gets Busted' reveals that Sideshow Bob was the one who committed the robbery.","9.04","0.096","0.904","0.829","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_ca_k3.csv"
"1","Who is Lisa’s idol?","Bleeding Gums Murphy","Lisa's idol is not mentioned in the provided context sources.","en","deepseek-r1","nomic-embed-text","3","36052.82","33.64","36019.16","280","255","535","10.023692944048948","0.5","The system did not provide a specific answer, but it was correct to state that the idol is not mentioned in the context.","7.74","0.226","0.774","0.793","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_en_k3.csv"
"2","What instrument does Lisa play?","Saxophone","Lisa plays the saxophone as shown in ""The Simpsons""/""Moaning Lisa"".","en","deepseek-r1","nomic-embed-text","3","27191.99","2093.19","25098.79","256","149","405","10.179138421464712","9.5","{""score"": 9.5, ""feedback"": ""The system answer is close but not exactly the same as the gold answer. The difference being that the system answer includes 'as shown in ""The Simpsons""/""Moaning Lisa""' which is not present in the gold answer.""}","8.79","0.121","0.879","0.762","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_en_k3.csv"
"3","What is the name of Bart’s dog?","Santa’s Little Helper","The provided context does not mention a dog associated with Bart.","en","deepseek-r1","nomic-embed-text","3","34302.3","2112.56","32189.73","270","218","488","10.093384409253773","0.0","The provided context does not mention a dog associated with Bart.","7.96","0.204","0.796","0.749","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_en_k3.csv"
"4","What is Homer Simpson’s job?","Safety inspector at the nuclear plant","Homer Simpson is employed as a nuclear safety inspector, following his firing.","en","deepseek-r1","nomic-embed-text","3","32391.9","2144.05","30247.84","266","197","463","10.016710364353772","6.5","While you got some key details correct, 'nuclear safety inspector' is a bit too detailed and the 'following his firing' part is not present in the gold answer.","8.72","0.128","0.872","0.761","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_en_k3.csv"
"5","In which episode is Homer mistaken for Bigfoot?","The Call of the Simpsons (S01E07)","In The Call of the Simpsons, Homer is mistaken for Bigfoot during a camping trip gone wrong.","en","deepseek-r1","nomic-embed-text","3","31893.92","2113.5","29780.41","279","192","471","10.0218216292489","8.5","The answer is close but lacks the episode number and title, which are critical details in a Simpsons trivia question.","9.11","0.089","0.911","0.905","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_en_k3.csv"
"6","What does Bart do to impress the cool kids in “The Telltale Head”?","Cut off the head of Jebediah Springfield’s statue","Bart cuts off the head of Jebediah Springfield’s statue in ""The Telltale Head"" to impress the cool kids.","en","deepseek-r1","nomic-embed-text","3","45624.18","2152.98","43471.19","279","325","604","9.877594658721993","8.5","While your answer is mostly correct, it could be more concise and free of unnecessary words.","9.18","0.082","0.918","0.845","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_en_k3.csv"
"7","Who helps Bart fight Nelson in “Bart the General”?","Grandpa Abe and Herman","Grandpa and Herman help Bart fight Nelson in “Bart the General”.","en","deepseek-r1","nomic-embed-text","3","36406.25","2064.94","34341.3","277","230","507","9.668157639495268","7.5","Close but not exact, missed the specific name 'Abe'","8.8","0.12","0.88","0.784","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_en_k3.csv"
"8","What side job does Homer take at Christmas in the pilot episode?","Santa Claus at a mall","In the pilot episode ""Simpsons Roasting on an Open Fire,"" Homer takes a side job as a mall Santa.","en","deepseek-r1","nomic-embed-text","3","31274.22","2071.46","29202.75","285","182","467","9.794835386731773","8.5","Close but not exact. The system answer includes 'In the pilot episode', which is not necessary to convey the correct information.","9.26","0.074","0.926","0.778","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_en_k3.csv"
"9","What compromising photo does Bart take in “Homer’s Night Out”?","A photo of Homer dancing with a dancer","Bart snaps a compromising photo of Homer at a party.","en","deepseek-r1","nomic-embed-text","3","55290.14","2068.98","53221.15","285","403","688","9.46497898121747","4.2","The system answer is close but doesn't capture the specific detail of Homer dancing with a dancer.","8.48","0.152","0.848","0.832","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_en_k3.csv"
"10","Who actually commits the robbery in “Krusty Gets Busted”?","Sideshow Bob","In ""Krusty Gets Busted"", Sideshow Bob commits the robbery.","en","deepseek-r1","nomic-embed-text","3","32541.3","2069.54","30471.74","292","194","486","9.759610333572011","9.5","System answer is almost identical to the gold answer, only minor improvement needed.","8.81","0.119","0.881","0.762","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_en_k3.csv"
"1","¿Quién es el ídolo de Lisa?","Bleeding Gums Murphy","Bleeding Gums Murphy","es","deepseek-r1","nomic-embed-text","3","33430.7","37.28","33393.41","355","174","529","9.956995222616525","10.0","La respuesta coincide exactamente con la correcta.","8.12","0.188","0.812","0.812","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_es_k3.csv"
"2","¿Qué instrumento toca Lisa?","Saxofón","Lisa toca el saxofón.","es","deepseek-r1","nomic-embed-text","3","23813.54","2109.54","21703.98","352","109","461","10.02096275084952","9.5","La respuesta es correcta, solo falta la precisión gramatical","8.19","0.181","0.819","0.723","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_es_k3.csv"
"3","¿Cómo se llama el perro de Bart?","Santa’s Little Helper","No se menciona el nombre del perro de Bart en el contexto proporcionado.","es","deepseek-r1","nomic-embed-text","3","40441.82","2074.96","38366.85","353","272","625","9.864741161069517","0.0","La respuesta no menciona el nombre del perro de Bart.","8.48","0.152","0.848","0.748","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_es_k3.csv"
"4","¿En qué trabaja Homer Simpson?","Inspector de seguridad en la planta nuclear","Homer trabaja como Santa Claus para la empresa Nuclear Power Plant of Springfield Industries.","es","deepseek-r1","nomic-embed-text","3","35905.12","2116.84","33788.27","345","229","574","9.956488146805208","2.0","La respuesta no es correcta. La empresa Nuclear Power Plant of Springfield Industries es incorrecta y Santa Claus no es un trabajo real. Se debería mencionar que Homer trabaja como Inspector de seguridad en la planta nuclear.","8.79","0.121","0.879","0.755","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_es_k3.csv"
"5","¿En qué episodio Homer es confundido con Big Foot?","The Call of the Simpsons (S01E07)","En el episodio The Call of the Simpsons (s01e07).","es","deepseek-r1","nomic-embed-text","3","28393.77","2155.34","26238.42","364","153","517","9.922984796469658","9.5","La respuesta es correcta, pero faltó el guion 'S01' en la referencia al episodio.","9.29","0.071","0.929","0.86","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_es_k3.csv"
"6","¿Qué hace Bart para impresionar a los chicos populares en “The Telltale Head”?","Cortar la cabeza de la estatua de Jebediah Springfield","Corta la cabeza de una estatua para impresionar a los chicos populares en ese episodio.","es","deepseek-r1","nomic-embed-text","3","35479.34","2160.44","33318.88","366","224","590","9.953870298954806","8.5","La respuesta coincide con la mayoría del contenido de la pregunta correcta, pero no menciona específicamente el nombre de la estatua y su relevancia en el episodio.","8.57","0.143","0.857","0.864","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_es_k3.csv"
"7","¿Quién ayuda a Bart a enfrentarse a Nelson en “Bart the General”?","El abuelo Abe y Herman","Abe Simpson y Herman ayudan a Bart para enfrentarse a Nelson en ese episodio.","es","deepseek-r1","nomic-embed-text","3","45753.2","2151.36","43601.84","362","320","682","9.76870690658965","8.5","La respuesta es muy similar a la correcta, pero falta el artículo 'el' antes de 'abuelo'","9.35","0.065","0.935","0.84","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_es_k3.csv"
"8","¿Qué trabajo extra toma Homer en Navidad en el episodio piloto?","Santa Claus en un centro comercial","En el episodio piloto, Homer toma el trabajo de Santa Claus en una conservera de salchichas navideña.","es","deepseek-r1","nomic-embed-text","3","39658.47","2065.55","37592.92","367","255","622","9.508174781908759","2.5","La respuesta coincide en parte con la situación navideña y el papel de Santa Claus, pero no se refiere al centro comercial correcto.","9.22","0.078","0.922","0.809","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_es_k3.csv"
"9","¿Qué fotografía comprometedora toma Bart en “Homer’s Night Out”?","Una foto de Homer bailando con una bailarina","Bart toma una foto comprometedora de Homer en una fiesta durante su noche fuera.","es","deepseek-r1","nomic-embed-text","3","37399.16","2064.37","35334.77","355","235","590","9.575804648956176","2.5","La respuesta del sistema es parcialmente correcta, pero no describe la fotografía comprometedora que Bart toma en la historia","9.09","0.091","0.909","0.878","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_es_k3.csv"
"10","¿Quién realmente comete el robo en “Krusty Gets Busted”?","Sideshow Bob","El ayudante Bob de Krusty es el autor del robo en ""Krusty Gets Busted"".","es","deepseek-r1","nomic-embed-text","3","40938.05","2073.82","38864.21","376","263","639","9.369392336303758","2.0","La respuesta no coincide con la correcta, ya que el ayudante Bob de Krusty es un personaje secundario y no el autor del robo en 'Krusty Gets Busted'. La respuesta correcta es Sideshow Bob.","9.35","0.065","0.935","0.77","semantic","semantic","semantic","results_deepseek-r1_nomic_embed_text_es_k3.csv"
"1","Qui és l’ídol de la Lisa?","Bleeding Gums Murphy","Bleeding Gums Murphy.","ca","llama3","all-minilm","3","3774.46","22.95","3751.49","357","8","365","14.222525636102459","10.0","The system's response matches the correct answer, Bleeding Gums Murphy.","7.24","0.276","0.724","0.738","semantic","semantic","semantic","results_llama3_all_minilm_ca_k3.csv"
"2","Quin instrument toca la Lisa?","Saxòfon","La Lisa toca el saxofon.","ca","llama3","all-minilm","3","5926.03","2055.17","3870.84","355","10","365","14.144697711543502","8.5","La resposta és pròxima però no es tracta del nom correcte, que és Saxòfon (sense accent)","7.58","0.242","0.758","0.626","semantic","semantic","semantic","results_llama3_all_minilm_ca_k3.csv"
"3","Com es diu el gos del Bart?","Santa’s Little Helper","No trobo informació sobre el gos del Bart en els contextos proporcionats.","ca","llama3","all-minilm","3","6879.48","2043.62","4835.85","362","20","382","13.809560635018837","0.0","La resposta del sistema és correcta però no es presenta cap informació, mentre que la resposta correcta és Santa's Little Helper","7.13","0.287","0.713","0.575","semantic","semantic","semantic","results_llama3_all_minilm_ca_k3.csv"
"4","En què treballa el Homer Simpson?","Inspector de seguretat a la central nuclear","El Homer Simpson treballa com a operari a la fàbrica.","ca","llama3","all-minilm","3","6517.66","2043.27","4474.37","376","18","394","13.774410359580983","2.5","La resposta és incorrecta i no està relacionada amb la professió d'Homer Simpson. L'Inspector de seguretat a la central nuclear és la ocupació correcta.","7.52","0.248","0.752","0.705","semantic","semantic","semantic","results_llama3_all_minilm_ca_k3.csv"
"5","En quin episodi confonen el Homer amb el Bigfoot?","The Call of the Simpsons (S01E07)","El episodi on confonen el Homer amb el Bigfoot és ""The Call of the Simpsons"" (s01e07).","ca","llama3","all-minilm","3","7202.43","2044.02","5158.39","377","27","404","13.539747961102009","9.8","La resposta és correcta en general, però es podria haver estat més específica utilitzant la numeració completa del episodi (S01E07) en comptet de simplement 'The Call of the Simpsons'.","8.55","0.145","0.855","0.812","semantic","semantic","semantic","results_llama3_all_minilm_ca_k3.csv"
"6","Què fa el Bart per impressionar els nois populars a “The Telltale Head”?","Tallar el cap de l’estàtua de Jebediah Springfield","Talla el cap de l'estàtua de Jebediah Springfield.","ca","llama3","all-minilm","3","6598.52","2052.63","4545.88","372","17","389","13.893161262989697","10.0","The response matches the correct answer exactly.","7.76","0.224","0.776","0.791","semantic","semantic","semantic","results_llama3_all_minilm_ca_k3.csv"
"7","Qui ajuda el Bart a enfrontar-se amb el Nelson a “Bart the General”?","L’avi Abe i en Herman","L'avi i en Herman ajuden el Bart a enfrontar-se amb el Nelson a ""Bart the General"".","ca","llama3","all-minilm","3","7133.63","2050.11","5083.51","375","26","401","13.560160748404048","8.5","La resposta té alguns detalls precisos, però no s'han inclòs tots els personatges involucrats en l'enfrontament, fet que redueix la puntuació.","8.3","0.17","0.83","0.68","semantic","semantic","semantic","results_llama3_all_minilm_ca_k3.csv"
"8","Quin treball extra fa el Homer per Nadal a l’episodi pilot?","Pare Noel en un centre comercial","Homer es converteix en Pare Noel al centre comercial.","ca","llama3","all-minilm","3","6453.0","2052.27","4400.72","382","14","396","13.970124887927167","4.5","La resposta és parcialment correcta, però no completa. Homer es converteix en Pare Noel al centre comercial és una part de la resposta correcta, però hi manca el terme 'Pare Noel' que és essencial.","7.07","0.293","0.707","0.624","semantic","semantic","semantic","results_llama3_all_minilm_ca_k3.csv"
"9","Quina foto comprometedora fa el Bart a “Homer’s Night Out”?","Una foto del Homer ballant amb una ballarina","Bart takes a photo of Homer passed out drunk.","ca","llama3","all-minilm","3","6034.13","2046.11","3988.01","375","12","387","14.283707764861603","2.5","La resposta del sistema és parcialment correcta, ja que Bart sí que fa una foto a Homer en 'Homer's Night Out', però no la descripció donada és inexacta. La fotografia comprometedora és en realitat una imatge de Homer ballant amb una ballarina.","7.8","0.22","0.78","0.767","semantic","semantic","semantic","results_llama3_all_minilm_ca_k3.csv"
"10","Qui comet realment el robatori a “Krusty Gets Busted”?","En Sideshow Bob","Sideshow Bob comete realment el robatori a ""Krusty Gets Busted"".","ca","llama3","all-minilm","3","6655.49","2052.1","4603.38","378","20","398","13.75948097036263","9.5","La resposta és correcta, però falta la possessiva 'en' abans de Sideshow Bob.","8.31","0.169","0.831","0.683","semantic","semantic","semantic","results_llama3_all_minilm_ca_k3.csv"
"1","Who is Lisa’s idol?","Bleeding Gums Murphy","Bleeding Gums Murphy.","en","llama3","all-minilm","3","3655.87","28.82","3627.03","264","8","272","15.074614631609393","10.0","Perfect match","7.65","0.235","0.765","0.781","semantic","semantic","semantic","results_llama3_all_minilm_en_k3.csv"
"2","What instrument does Lisa play?","Saxophone","Lisa plays saxophone.","en","llama3","all-minilm","3","5464.29","2063.83","3400.45","261","6","267","15.99355140007549","9.5","Close but the system answer should match exactly with the gold answer.","7.48","0.252","0.748","0.617","semantic","semantic","semantic","results_llama3_all_minilm_en_k3.csv"
"3","What is the name of Bart’s dog?","Santa’s Little Helper","There is no context about Bart's dog in the provided episode summaries, so I cannot answer this question.","en","llama3","all-minilm","3","6552.97","2055.42","4497.53","273","22","295","13.965695807466378","0.0","No attempt was made to answer the question.","7.79","0.221","0.779","0.603","semantic","semantic","semantic","results_llama3_all_minilm_en_k3.csv"
"4","What is Homer Simpson’s job?","Safety inspector at the nuclear plant","Homer Simpson was fired from his original job and later became a nuclear safety inspector.","en","llama3","all-minilm","3","6433.27","2053.91","4379.35","270","18","288","14.099997180000564","6.4","While your answer is close, you provided additional information that's not necessary to the correct answer. 'Fired from his original job' and 'nuclear safety inspector' are accurate details, but the core of the correct answer, which is simply 'safety inspector at the nuclear plant', is not fully captured.","8.02","0.198","0.802","0.652","semantic","semantic","semantic","results_llama3_all_minilm_en_k3.csv"
"5","In which episode is Homer mistaken for Bigfoot?","The Call of the Simpsons (S01E07)","Homer is mistaken for Bigfoot in The Call of the Simpsons (Season 1, Episode 7).","en","llama3","all-minilm","3","6571.63","2056.12","4515.5","261","23","284","13.953105190761393","9.5","Your answer is very close to the gold answer, but you wrote 'System answer' instead of just the answer.","8.54","0.146","0.854","0.834","semantic","semantic","semantic","results_llama3_all_minilm_en_k3.csv"
"6","What does Bart do to impress the cool kids in “The Telltale Head”?","Cut off the head of Jebediah Springfield’s statue","Bart cuts off the head of Jebediah Springfield's statue.","en","llama3","all-minilm","3","6180.11","2066.34","4113.76","280","15","295","14.249165853830917","8.5","Close enough to the exact wording of the gold answer, but missed the context and tone of 'impress the cool kids'.","8.3","0.17","0.83","0.759","semantic","semantic","semantic","results_llama3_all_minilm_en_k3.csv"
"7","Who helps Bart fight Nelson in “Bart the General”?","Grandpa Abe and Herman","Grandpa Abe Simpson and Herman help Bart fight Nelson in ""Bart the General"".","en","llama3","all-minilm","3","6268.24","2069.66","4198.57","275","18","293","14.059784704079025","9.5","Extra words not needed in the gold answer","8.96","0.104","0.896","0.684","semantic","semantic","semantic","results_llama3_all_minilm_en_k3.csv"
"8","What side job does Homer take at Christmas in the pilot episode?","Santa Claus at a mall","Homer takes a job as a mall Santa.","en","llama3","all-minilm","3","5731.12","2052.84","3678.27","285","11","296","14.509871065285713","9.5","Correct, but minor formatting discrepancy.","7.96","0.204","0.796","0.67","semantic","semantic","semantic","results_llama3_all_minilm_en_k3.csv"
"9","What compromising photo does Bart take in “Homer’s Night Out”?","A photo of Homer dancing with a dancer","Bart snaps a compromising photo of Homer at a party with a woman.","en","llama3","all-minilm","3","6347.32","2060.74","4286.57","282","16","298","14.234506918014844","2.5","The system answer is close but not entirely accurate; it lacks the specific details about the woman being a dancer","8.42","0.158","0.842","0.729","semantic","semantic","semantic","results_llama3_all_minilm_en_k3.csv"
"10","Who actually commits the robbery in “Krusty Gets Busted”?","Sideshow Bob","Sideshow Bob is the one who actually commits the robbery in ""Krusty Gets Busted"".","en","llama3","all-minilm","3","6670.08","2039.41","4630.67","291","21","312","13.045979685670167","1.0","Extra information in the system answer","8.67","0.133","0.867","0.685","semantic","semantic","semantic","results_llama3_all_minilm_en_k3.csv"
"1","¿Quién es el ídolo de Lisa?","Bleeding Gums Murphy","Bleeding Gums Murphy.","es","llama3","all-minilm","3","13573.6","35.66","13537.92","344","8","352","13.536440860220512","10.0","Excelente respuesta coincidente con la correcta","7.28","0.272","0.728","0.742","semantic","semantic","semantic","results_llama3_all_minilm_es_k3.csv"
"2","¿Qué instrumento toca Lisa?","Saxofón","El saxofón.","es","llama3","all-minilm","3","5539.87","2049.17","3490.69","341","6","347","14.975754253862997","10.0","Respuesta exacta y correcta","7.17","0.283","0.717","0.681","semantic","semantic","semantic","results_llama3_all_minilm_es_k3.csv"
"3","¿Cómo se llama el perro de Bart?","Santa’s Little Helper","No está en el contexto.","es","llama3","all-minilm","3","5810.76","2056.69","3754.06","346","7","353","15.386705271177492","0.0","La respuesta no identifica correctamente el nombre del perro de Bart.","6.81","0.319","0.681","0.591","semantic","semantic","semantic","results_llama3_all_minilm_es_k3.csv"
"4","¿En qué trabaja Homer Simpson?","Inspector de seguridad en la planta nuclear","Homer Simpson trabaja en la fábrica de cerveza Duff.","es","llama3","all-minilm","3","6507.82","2069.68","4438.13","343","19","362","13.934548983386643","2.5","La respuesta menciona la cerveza Duff, pero no coincide con la profesión correcta de Homer Simpson, que es Inspector de seguridad en la planta nuclear.","7.88","0.212","0.788","0.599","semantic","semantic","semantic","results_llama3_all_minilm_es_k3.csv"
"5","¿En qué episodio Homer es confundido con Big Foot?","The Call of the Simpsons (S01E07)","No se encuentra información sobre que Homer sea confundido con Bigfoot en ninguno de los contextos proporcionados.","es","llama3","all-minilm","3","7288.27","2061.87","5226.39","361","25","386","13.52730478354175","0.0","La respuesta del sistema no proporciona la información solicitada y no menciona el episodio 'The Call of the Simpsons' (S01E07), donde Homer es confundido con Big Foot.","7.42","0.258","0.742","0.74","semantic","semantic","semantic","results_llama3_all_minilm_es_k3.csv"
"6","¿Qué hace Bart para impresionar a los chicos populares en “The Telltale Head”?","Cortar la cabeza de la estatua de Jebediah Springfield","Corta la cabeza de la estatua de Jebediah Springfield.","es","llama3","all-minilm","3","6340.86","2066.51","4274.33","367","16","383","14.061765602319909","9.5","La respuesta es correcta, pero no agrega contexto ni justificación.","8.06","0.194","0.806","0.811","semantic","semantic","semantic","results_llama3_all_minilm_es_k3.csv"
"7","¿Quién ayuda a Bart a enfrentarse a Nelson en “Bart the General”?","El abuelo Abe y Herman","Abe Simpson y Herman.","es","llama3","all-minilm","3","5676.22","2065.91","3610.29","363","7","370","15.18385149672647","6.7","La respuesta contiene la mayor parte de la información correcta, pero no se escribe correctamente en minúsculas y con espacios entre las palabras.","7.14","0.286","0.714","0.752","semantic","semantic","semantic","results_llama3_all_minilm_es_k3.csv"
"8","¿Qué trabajo extra toma Homer en Navidad en el episodio piloto?","Santa Claus en un centro comercial","No hay información sobre Navidad ni episodio piloto en el contexto proporcionado.","es","llama3","all-minilm","3","6735.12","2066.15","4668.95","364","19","383","13.883597289746437","0.0","No hay relación con el contexto proporcionado","6.52","0.348","0.652","0.613","semantic","semantic","semantic","results_llama3_all_minilm_es_k3.csv"
"9","¿Qué fotografía comprometedora toma Bart en “Homer’s Night Out”?","Una foto de Homer bailando con una bailarina","Una foto de Homer con una mujer joven y atractiva.","es","llama3","all-minilm","3","6207.05","2063.06","4143.98","368","14","382","14.163696927236536","2.5","La respuesta del sistema se acerca a la correcta, pero no describe completamente la situación. La foto es comprometedora porque Homer está bailando con una bailarina, no simplemente estando cerca de ella.","7.95","0.205","0.795","0.811","semantic","semantic","semantic","results_llama3_all_minilm_es_k3.csv"
"10","¿Quién realmente comete el robo en “Krusty Gets Busted”?","Sideshow Bob","Sideshow Bob fue quien realmente cometió el robo en ""Krusty Gets Busted"".","es","llama3","all-minilm","3","6983.44","2071.09","4912.33","361","21","382","13.739859574709474","10.0","Exacta coincidencia con la respuesta correcta","8.1","0.19","0.81","0.648","semantic","semantic","semantic","results_llama3_all_minilm_es_k3.csv"
"1","Qui és l’ídol de la Lisa?","Bleeding Gums Murphy","Jebediah Springfield.","ca","llama3","mxbai-embed-large","3","10869.91","58.93","10810.96","358","6","364","15.72544628816566","1.0","The idiol of Lisa is not Jebediah Springfield, it's Bleeding Gums Murphy.","7.76","0.224","0.776","0.711","semantic","semantic","semantic","results_llama3_mxbai_embed_large_ca_k3.csv"
"2","Quin instrument toca la Lisa?","Saxòfon","La Lisa toca el saxofon.","ca","llama3","mxbai-embed-large","3","13248.28","2093.22","11155.05","354","10","364","15.099818862572926","8.5","La resposta és correcta però la forma de escrit no és exacta (saxofon en lloc de Saxòfon)","8.5","0.15","0.85","0.701","semantic","semantic","semantic","results_llama3_mxbai_embed_large_ca_k3.csv"
"3","Com es diu el gos del Bart?","Santa’s Little Helper","No hi ha cap gos mencionat al context.","ca","llama3","mxbai-embed-large","3","13437.03","2096.28","11340.74","360","13","373","14.468194789980798","0.0","La resposta del sistema és incorrecte i no menciona cap gos específic.","8.11","0.189","0.811","0.728","semantic","semantic","semantic","results_llama3_mxbai_embed_large_ca_k3.csv"
"4","En què treballa el Homer Simpson?","Inspector de seguretat a la central nuclear","Treballa a la fàbrica d'embalatge de donuts.","ca","llama3","mxbai-embed-large","3","14024.89","2106.25","11918.63","362","19","381","13.147719822090592","1.5","La resposta és força diferent de la correcta. L'Homer Simpson treballa com a inspector de seguretat a la central nuclear, no a la fàbrica d'embalatge de donuts.","7.53","0.247","0.753","0.725","semantic","semantic","semantic","results_llama3_mxbai_embed_large_ca_k3.csv"
